"workflow_id","display_name","diagnosis_label","specialty_id","age_min_months","age_max_years","sex","excluded_from_limited_testing"
"ed-laceration-documentation","ED laceration documentation","ED laceration documentation","Emergency Medicine documentation-only","","","","false"
"ed-medication-administration-documentation","ED medication administration documentation","ED medication administration documentation","Emergency Medicine documentation-only","","","","false"
"ed-mental-health-presentation-documentation","ED mental health presentation documentation","ED mental health presentation documentation","Emergency Medicine documentation-only","","","","false"
"ed-minor-head-injury-documentation","ED minor head injury documentation","ED minor head injury documentation","Emergency Medicine documentation-only","","","","false"
"ed-observation-unit-review","ED observation-unit review","ED observation-unit review","Emergency Medicine documentation-only","","","","false"
"ed-overdose-documentation","ED overdose documentation-only","ED overdose documentation-only","Emergency Medicine documentation-only","","","","false"
"ed-patient-declined-care-documentation","ED patient declined care documentation","ED patient declined care documentation","Emergency Medicine documentation-only","","","","false"
"ed-pediatric-fever-documentation","ED pediatric fever documentation","ED pediatric fever documentation","Emergency Medicine documentation-only","","","","false"
"ed-pediatric-injury-documentation","ED pediatric injury documentation","ED pediatric injury documentation","Emergency Medicine documentation-only","","","","false"
"ed-pelvic-pain-documentation","ED pelvic pain documentation","ED pelvic pain documentation","Emergency Medicine documentation-only","","","","false"
"ed-pregnancy-bleeding-documentation","ED pregnancy bleeding documentation","ED pregnancy bleeding documentation","Emergency Medicine documentation-only","","","","true"
"ed-procedural-sedation-documentation-prompt","ED procedural sedation documentation prompt","ED procedural sedation documentation prompt","Emergency Medicine documentation-only","","","","false"
"ed-procedure-note-documentation-prompt","ED procedure note documentation prompt","ED procedure note documentation prompt","Emergency Medicine documentation-only","","","","false"
"ed-reattendance-documentation","ED reattendance documentation","ED reattendance documentation","Emergency Medicine documentation-only","","","","false"
"ed-referral-documentation","ED referral documentation","ED referral documentation","Emergency Medicine documentation-only","","","","false"
"ed-renal-colic-documentation","ED renal colic documentation","ED renal colic documentation","Emergency Medicine documentation-only","","","","false"
"ed-safeguarding-documentation","ED safeguarding documentation","ED safeguarding documentation","Emergency Medicine documentation-only","","","","false"
"ed-safety-net-documentation","ED safety-net documentation","ED safety-net documentation","Emergency Medicine documentation-only","","","","false"
"ed-seizure-documentation","ED seizure documentation","ED seizure documentation","Emergency Medicine documentation-only","","","","false"
"ed-self-harm-documentation-prompts","ED self-harm documentation prompts","ED self-harm documentation prompts","Emergency Medicine documentation-only","","","","false"
"ed-shortness-of-breath-documentation","ED shortness of breath documentation","ED shortness of breath documentation","Emergency Medicine documentation-only","","","","false"
"ed-sprain-documentation","ED sprain documentation","ED sprain documentation","Emergency Medicine documentation-only","","","","false"
"ed-syncope-documentation","ED syncope documentation","ED syncope documentation","Emergency Medicine documentation-only","","","","false"
"ed-testicular-pain-documentation","ED testicular pain documentation","ED testicular pain documentation","Emergency Medicine documentation-only","","","","false"
"ed-transfer-documentation","ED transfer documentation","ED transfer documentation","Emergency Medicine documentation-only","","","","false"
"ed-triage-documentation","ED triage documentation","ED triage documentation","Emergency Medicine documentation-only","","","","false"
"ed-urinary-symptoms-documentation","ED urinary symptoms documentation","ED urinary symptoms documentation","Emergency Medicine documentation-only","","","","false"
"ed-violence-aggression-incident-documentation","ED violence/aggression incident documentation","ED violence/aggression incident documentation","Emergency Medicine documentation-only","","","","false"
"ed-vomiting-documentation","ED vomiting documentation","ED vomiting documentation","Emergency Medicine documentation-only","","","","false"
"ed-wound-documentation","ED wound documentation","ED wound documentation","Emergency Medicine documentation-only","","","","false"
"endo-adrenal-incidentaloma-result-review","Adrenal incidentaloma result review","Adrenal incidentaloma result review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-b12-deficiency-endocrine-review","B12 deficiency endocrine review","B12 deficiency endocrine review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-bone-density-result-review","Bone density result review","Bone density result review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-calcium-result-review","Calcium result review","Calcium result review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-cold-intolerance-endocrine-documentation","Cold intolerance endocrine documentation","Cold intolerance endocrine documentation","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-continuous-glucose-monitor-review","Continuous glucose monitor review","Continuous glucose monitor review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-cortisol-result-discussion-documentation","Cortisol result discussion documentation","Cortisol result discussion documentation","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-diabetes-annual-review","Diabetes annual review","Diabetes annual review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-diabetes-medication-review","Diabetes medication review","Diabetes medication review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-diabetes-technology-documentation","Diabetes technology documentation","Diabetes technology documentation","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-diabetic-eye-screening-result-review","Diabetic eye screening result review","Diabetic eye screening result review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-diabetic-foot-risk-review","Diabetic foot risk review","Diabetic foot risk review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-diabetic-kidney-screening-result-review","Diabetic kidney screening result review","Diabetic kidney screening result review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-erectile-dysfunction-endocrine-review","Erectile dysfunction endocrine review","Erectile dysfunction endocrine review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-excessive-sweating-endocrine-review","Excessive sweating endocrine review","Excessive sweating endocrine review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-fracture-risk-documentation","Fracture risk documentation","Fracture risk documentation","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-goiter-symptom-review","Goiter symptom review","Goiter symptom review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-growth-hormone-concern-documentation","Growth hormone concern documentation","Growth hormone concern documentation","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-hba1c-result-review","HbA1c result review","HbA1c result review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-heat-intolerance-endocrine-documentation","Heat intolerance endocrine documentation","Heat intolerance endocrine documentation","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-hirsutism-review","Hirsutism review","Hirsutism review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-home-glucose-log-review","Home glucose log review","Home glucose log review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-hyperglycemia-follow-up","Hyperglycemia follow-up","Hyperglycemia follow-up","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-hyperthyroidism-follow-up","Hyperthyroidism follow-up","Hyperthyroidism follow-up","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-hypothyroidism-follow-up","Hypothyroidism follow-up","Hypothyroidism follow-up","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-infertility-hormone-result-review","Infertility hormone result review","Infertility hormone result review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-insulin-initiation-documentation-review","Insulin initiation documentation-only review","Insulin initiation documentation-only review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-lipid-disorder-follow-up","Lipid disorder follow-up","Lipid disorder follow-up","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-menopause-metabolic-risk-review","Menopause metabolic risk review","Menopause metabolic risk review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-metabolic-syndrome-documentation","Metabolic syndrome documentation","Metabolic syndrome documentation","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-osteoporosis-endocrine-follow-up","Osteoporosis endocrine follow-up","Osteoporosis endocrine follow-up","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-pituitary-result-review","Pituitary result review","Pituitary result review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-polyuria-polydipsia-documentation","Polyuria polydipsia documentation","Polyuria polydipsia documentation","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-prediabetes-follow-up","Prediabetes follow-up","Prediabetes follow-up","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-prediabetes-review","Prediabetes review","Prediabetes review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-prolactin-result-review","Prolactin result review","Prolactin result review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-referral-documentation","Endocrine referral documentation","Endocrine referral documentation","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-short-stature-endocrine-review","Short stature endocrine review","Short stature endocrine review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-testosterone-result-review","Testosterone result review","Testosterone result review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-thyroid-function-result-review","Thyroid function result review","Thyroid function result review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-thyroid-nodule-documentation","Thyroid nodule documentation","Thyroid nodule documentation","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-thyroid-nodule-review","Thyroid nodule review","Thyroid nodule review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-vitamin-d-deficiency-endocrine-follow-up","Vitamin D deficiency endocrine follow-up","Vitamin D deficiency endocrine follow-up","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-weight-loss-endocrine-review","Weight loss endocrine review","Weight loss endocrine review","Endocrinology / Diabetes / Metabolic","","","","false"
"endo-weight-management-endocrine-review","Weight management endocrine review","Weight management endocrine review","Endocrinology / Diabetes / Metabolic","","","","false"
"ent-adenoid-symptom-documentation","Adenoid symptom documentation","Adenoid symptom documentation","ENT","","","","false"
"ent-audiology-referral-documentation","Audiology referral documentation","Audiology referral documentation","ENT","","","","false"
"ent-balance-clinic-follow-up","Balance clinic follow-up","Balance clinic follow-up","ENT","","","","false"
"ent-barotrauma-ear-symptoms","Barotrauma ear symptoms","Barotrauma ear symptoms","ENT","","","","false"
"ent-bppv-follow-up","BPPV follow-up","BPPV follow-up","ENT","","","","false"
"ent-cerumen-recurrence-review","Cerumen recurrence review","Cerumen recurrence review","ENT","","","","false"
"ent-chronic-cough-ent-contribution","Chronic cough ENT contribution","Chronic cough ENT contribution","ENT","","","","false"
"ent-chronic-rhinitis-follow-up","Chronic rhinitis follow-up","Chronic rhinitis follow-up","ENT","","","","false"
"ent-chronic-sinus-symptom-follow-up","Chronic sinus symptom follow-up","Chronic sinus symptom follow-up","ENT","","","","false"
"ent-deviated-septum-symptoms","Deviated septum symptoms","Deviated septum symptoms","ENT","","","","false"
"ent-dysphonia-follow-up","Dysphonia follow-up","Dysphonia follow-up","ENT","","","","false"
"ent-ear-canal-itching","Ear canal itching","Ear canal itching","ENT","","","","false"
"ent-ear-discharge-follow-up","Ear discharge follow-up","Ear discharge follow-up","ENT","","","","false"
"ent-ear-fullness","Ear fullness","Ear fullness","ENT","","","","false"
"ent-ear-pain-follow-up","Ear pain follow-up","Ear pain follow-up","ENT","","","","false"
"ent-ear-tube-follow-up","Ear tube follow-up","Ear tube follow-up","ENT","","","","false"
"ent-epistaxis-recurrence-review","Epistaxis recurrence review","Epistaxis recurrence review","ENT","","","","false"
"ent-eustachian-tube-dysfunction-follow-up","Eustachian tube dysfunction follow-up","Eustachian tube dysfunction follow-up","ENT","","","","false"
"ent-facial-pressure-ent-review","Facial pressure ENT review","Facial pressure ENT review","ENT","","","","false"
"ent-foreign-body-sensation-throat","Foreign body sensation throat","Foreign body sensation throat","ENT","","","","false"
"ent-globus-sensation","Globus sensation","Globus sensation","ENT","","","","false"
"ent-glue-ear-follow-up","Glue ear follow-up","Glue ear follow-up","ENT","","","","false"
"ent-hearing-aid-issue","Hearing aid issue","Hearing aid issue","ENT","","","","false"
"ent-hearing-test-result-review","Hearing test result review","Hearing test result review","ENT","","","","false"
"ent-hoarseness-red-flag-screening","Hoarseness red-flag screening","Hoarseness red-flag screening","ENT","","","","false"
"ent-laryngopharyngeal-reflux-symptoms","Laryngopharyngeal reflux symptoms","Laryngopharyngeal reflux symptoms","ENT","","","","false"
"ent-mouth-breathing","Mouth breathing","Mouth breathing","ENT","","","","false"
"ent-nasal-allergy-follow-up","Nasal allergy follow-up","Nasal allergy follow-up","ENT","","","","false"
"ent-nasal-crusting","Nasal crusting","Nasal crusting","ENT","","","","false"
"ent-nasal-polyp-symptoms","Nasal polyp symptoms","Nasal polyp symptoms","ENT","","","","false"
"ent-nasal-trauma-follow-up","Nasal trauma follow-up","Nasal trauma follow-up","ENT","","","","false"
"ent-neck-mass-ent-documentation","Neck mass ENT documentation","Neck mass ENT documentation","ENT","","","","false"
"ent-non-allergic-rhinitis","Non-allergic rhinitis","Non-allergic rhinitis","ENT","","","","false"
"ent-nosebleed-documentation","Nosebleed documentation","Nosebleed documentation","ENT","","","","false"
"ent-oral-lesion-ent-review","Oral lesion ENT review","Oral lesion ENT review","ENT","","","","false"
"ent-otitis-externa-follow-up","Otitis externa follow-up","Otitis externa follow-up","ENT","","","","false"
"ent-perforated-eardrum-follow-up","Perforated eardrum follow-up","Perforated eardrum follow-up","ENT","","","","false"
"ent-post-procedure-review","ENT post-procedure review","ENT post-procedure review","ENT","","","","false"
"ent-post-septoplasty-follow-up","Post-septoplasty follow-up","Post-septoplasty follow-up","ENT","","","","false"
"ent-post-tonsillectomy-follow-up","Post-tonsillectomy follow-up","Post-tonsillectomy follow-up","ENT","","","","false"
"ent-postnasal-drip","Postnasal drip","Postnasal drip","ENT","","","","false"
"ent-recurrent-otitis-media-history","Recurrent otitis media history","Recurrent otitis media history","ENT","","","","false"
"ent-recurrent-tonsillitis","Recurrent tonsillitis","Recurrent tonsillitis","ENT","","","","false"
"ent-reflux-related-throat-symptoms","Reflux-related throat symptoms","Reflux-related throat symptoms","ENT","","","","false"
"ent-salivary-gland-swelling","Salivary gland swelling","Salivary gland swelling","ENT","","","","false"
"ent-sleep-disordered-breathing-ent-documentation","Sleep-disordered breathing ENT documentation","Sleep-disordered breathing ENT documentation","ENT","","","","false"
"ent-smell-loss","Smell loss","Smell loss","ENT","","","","false"
"ent-snoring-ent-review","Snoring ENT review","Snoring ENT review","ENT","","","","false"
"ent-sudden-hearing-change-documentation","Sudden hearing change documentation","Sudden hearing change documentation","ENT","","","","false"
"ent-swallowing-symptom-ent-review","Swallowing symptom ENT review","Swallowing symptom ENT review","ENT","","","","false"
"ent-throat-clearing","Throat clearing","Throat clearing","ENT","","","","false"
"ent-tinnitus-impact-review","Tinnitus impact review","Tinnitus impact review","ENT","","","","false"
"ent-tmj-related-ear-symptoms","TMJ-related ear symptoms","TMJ-related ear symptoms","ENT","","","","false"
"ent-tongue-lesion-documentation","Tongue lesion documentation","Tongue lesion documentation","ENT","","","","false"
"ent-tonsil-size-documentation","Tonsil size documentation","Tonsil size documentation","ENT","","","","false"
"ent-tonsil-stone-symptoms","Tonsil stone symptoms","Tonsil stone symptoms","ENT","","","","false"
"ent-unilateral-nasal-obstruction-documentation","Unilateral nasal obstruction documentation","Unilateral nasal obstruction documentation","ENT","","","","false"
"ent-vertigo-episode-documentation","Vertigo episode documentation","Vertigo episode documentation","ENT","","","","false"
"ent-vocal-cord-lesion-follow-up","Vocal cord lesion follow-up","Vocal cord lesion follow-up","ENT","","","","false"
"ent-voice-strain-documentation","Voice strain documentation","Voice strain documentation","ENT","","","","false"
"geri-activities-of-daily-living-documentation","Activities of daily living documentation","Activities of daily living documentation","Geriatrics","","","","false"
"geri-advance-care-planning-documentation","Advance care planning documentation","Advance care planning documentation","Geriatrics","","","","false"
"geri-caregiver-support-review","Caregiver support review","Caregiver support review","Geriatrics","","","","false"
"geri-cognitive-decline-review","Cognitive decline review","Cognitive decline review","Geriatrics","","","","false"
"geri-comprehensive-geriatric-review","Comprehensive geriatric review","Comprehensive geriatric review","Geriatrics","","","","false"
"geri-continence-review-in-older-adult","Continence review in older adult","Continence review in older adult","Geriatrics","","","","false"
"geri-delirium-follow-up-after-discharge","Delirium follow-up after discharge","Delirium follow-up after discharge","Geriatrics","","","","false"
"geri-dementia-care-planning-documentation","Dementia care planning documentation","Dementia care planning documentation","Geriatrics","","","","false"
"geri-driving-safety-discussion-documentation","Driving safety discussion documentation","Driving safety discussion documentation","Geriatrics","","","","false"
"geri-falls-prevention-counseling-documentation","Falls prevention counseling documentation","Falls prevention counseling documentation","Geriatrics","","","","false"
"geri-falls-review","Falls review","Falls review","Geriatrics","","","","false"
"geri-frailty-review-documentation","Frailty review documentation","Frailty review documentation","Geriatrics","","","","false"
"geri-functional-status-review","Functional status review","Functional status review","Geriatrics","","","","false"
"geri-goals-of-care-discussion-documentation","Goals-of-care discussion documentation","Goals-of-care discussion documentation","Geriatrics","","","","false"
"geri-hearing-impairment-geriatric-review","Hearing impairment geriatric review","Hearing impairment geriatric review","Geriatrics","","","","false"
"geri-home-safety-discussion-documentation","Home safety discussion documentation","Home safety discussion documentation","Geriatrics","","","","false"
"geri-medication-deprescribing-discussion-documentation","Medication deprescribing discussion documentation","Medication deprescribing discussion documentation","Geriatrics","","","","false"
"geri-mobility-limitation-documentation","Mobility limitation documentation","Mobility limitation documentation","Geriatrics","","","","false"
"geri-mood-screening","Geriatric mood screening","Geriatric mood screening","Geriatrics","","","","false"
"geri-nutrition-risk-review","Nutrition risk review","Nutrition risk review","Geriatrics","","","","false"
"geri-osteoporosis-risk-review","Osteoporosis risk review","Osteoporosis risk review","Geriatrics","","","","false"
"geri-polypharmacy-review","Polypharmacy review","Polypharmacy review","Geriatrics","","","","false"
"geri-post-hospital-geriatric-follow-up","Post-hospital geriatric follow-up","Post-hospital geriatric follow-up","Geriatrics","","","","false"
"geri-pressure-area-risk-review","Pressure area risk review","Pressure area risk review","Geriatrics","","","","false"
"geri-referral-documentation","Geriatric referral documentation","Geriatric referral documentation","Geriatrics","","","","false"
"geri-sleep-issue-in-older-adult","Sleep issue in older adult","Sleep issue in older adult","Geriatrics","","","","false"
"geri-social-isolation-review","Social isolation review","Social isolation review","Geriatrics","","","","false"
"geri-vision-impairment-geriatric-review","Vision impairment geriatric review","Vision impairment geriatric review","Geriatrics","","","","false"
"geri-walking-aid-review","Walking aid review","Walking aid review","Geriatrics","","","","false"
"geri-weight-loss-in-older-adult","Weight loss in older adult","Weight loss in older adult","Geriatrics","","","","false"
"gi-abdominal-bloating","Abdominal bloating","Abdominal bloating","Gastroenterology outpatient","","","","false"
"gi-abdominal-imaging-result-review","Abdominal imaging result review","Abdominal imaging result review","Gastroenterology outpatient","","","","false"
"gi-abdominal-pain-follow-up","Abdominal pain follow-up","Abdominal pain follow-up","Gastroenterology outpatient","","","","false"
"gi-abnormal-liver-enzyme-review","Abnormal liver enzyme review","Abnormal liver enzyme review","Gastroenterology outpatient","","","","false"
"gi-alcohol-related-liver-risk-documentation","Alcohol-related liver risk documentation","Alcohol-related liver risk documentation","Gastroenterology outpatient","","","","false"
"gi-anal-fissure-symptoms","Anal fissure symptoms","Anal fissure symptoms","Gastroenterology outpatient","","","","false"
"gi-appetite-loss-gi-review","Appetite loss GI review","Appetite loss GI review","Gastroenterology outpatient","","","","false"
"gi-ascites-follow-up-documentation","Ascites follow-up documentation","Ascites follow-up documentation","Gastroenterology outpatient","","","","false"
"gi-belching-and-burping-documentation","Belching and burping documentation","Belching and burping documentation","Gastroenterology outpatient","","","","false"
"gi-biliary-colic-follow-up","Biliary colic follow-up","Biliary colic follow-up","Gastroenterology outpatient","","","","false"
"gi-bowel-cancer-screening-documentation","Bowel cancer screening documentation","Bowel cancer screening documentation","Gastroenterology outpatient","","","","false"
"gi-celiac-disease-follow-up","Celiac disease follow-up","Celiac disease follow-up","Gastroenterology outpatient","","","","false"
"gi-celiac-screening-result-review","Celiac screening result review","Celiac screening result review","Gastroenterology outpatient","","","","false"
"gi-change-in-bowel-habit-documentation","Change in bowel habit documentation","Change in bowel habit documentation","Gastroenterology outpatient","","","","false"
"gi-chronic-nausea-documentation","Chronic nausea documentation","Chronic nausea documentation","Gastroenterology outpatient","","","","false"
"gi-colonoscopy-result-discussion-documentation","Colonoscopy result discussion documentation","Colonoscopy result discussion documentation","Gastroenterology outpatient","","","","false"
"gi-constipation-follow-up","Constipation follow-up","Constipation follow-up","Gastroenterology outpatient","","","","false"
"gi-crohn-disease-follow-up-documentation","Crohn disease follow-up documentation","Crohn disease follow-up documentation","Gastroenterology outpatient","","","","false"
"gi-diarrhea-follow-up","Diarrhea follow-up","Diarrhea follow-up","Gastroenterology outpatient","","","","false"
"gi-dyspepsia-follow-up","Dyspepsia follow-up","Dyspepsia follow-up","Gastroenterology outpatient","","","","false"
"gi-dysphagia-documentation","Dysphagia documentation","Dysphagia documentation","Gastroenterology outpatient","","","","false"
"gi-early-satiety-documentation","Early satiety documentation","Early satiety documentation","Gastroenterology outpatient","","","","false"
"gi-endoscopy-result-discussion-documentation","Endoscopy result discussion documentation","Endoscopy result discussion documentation","Gastroenterology outpatient","","","","false"
"gi-fatty-liver-follow-up","Fatty liver follow-up","Fatty liver follow-up","Gastroenterology outpatient","","","","false"
"gi-fecal-incontinence-documentation","Fecal incontinence documentation","Fecal incontinence documentation","Gastroenterology outpatient","","","","false"
"gi-fit-result-review","FIT result review","FIT result review","Gastroenterology outpatient","","","","false"
"gi-food-intolerance-documentation","Food intolerance documentation","Food intolerance documentation","Gastroenterology outpatient","","","","false"
"gi-functional-abdominal-pain-documentation","Functional abdominal pain documentation","Functional abdominal pain documentation","Gastroenterology outpatient","","","","false"
"gi-gallstone-symptom-documentation","Gallstone symptom documentation","Gallstone symptom documentation","Gastroenterology outpatient","","","","false"
"gi-gastroenterology-referral-documentation","Gastroenterology referral documentation","Gastroenterology referral documentation","Gastroenterology outpatient","","","","false"
"gi-h-pylori-result-review","H. pylori result review","H. pylori result review","Gastroenterology outpatient","","","","false"
"gi-hemorrhoid-follow-up","Hemorrhoid follow-up","Hemorrhoid follow-up","Gastroenterology outpatient","","","","false"
"gi-hepatitis-result-review","Hepatitis result review","Hepatitis result review","Gastroenterology outpatient","","","","false"
"gi-ibs-symptom-review","IBS symptom review","IBS symptom review","Gastroenterology outpatient","","","","false"
"gi-inflammatory-bowel-disease-follow-up","Inflammatory bowel disease follow-up","Inflammatory bowel disease follow-up","Gastroenterology outpatient","","","","false"
"gi-iron-deficiency-gi-review","Iron deficiency GI review","Iron deficiency GI review","Gastroenterology outpatient","","","","false"
"gi-jaundice-documentation","Jaundice documentation","Jaundice documentation","Gastroenterology outpatient","","","","false"
"gi-lactose-intolerance-documentation","Lactose intolerance documentation","Lactose intolerance documentation","Gastroenterology outpatient","","","","false"
"gi-liver-ultrasound-result-review","Liver ultrasound result review","Liver ultrasound result review","Gastroenterology outpatient","","","","false"
"gi-medication-review","GI medication review","GI medication review","Gastroenterology outpatient","","","","true"
"gi-nausea-follow-up","Nausea follow-up","Nausea follow-up","Gastroenterology outpatient","","","","false"
"gi-nsaid-gi-risk-review","NSAID GI risk review","NSAID GI risk review","Gastroenterology outpatient","","","","false"
"gi-nutritional-counseling-gi-documentation","Nutritional counseling GI documentation","Nutritional counseling GI documentation","Gastroenterology outpatient","","","","false"
"gi-pancreatitis-follow-up-documentation","Pancreatitis follow-up documentation","Pancreatitis follow-up documentation","Gastroenterology outpatient","","","","false"
"gi-perianal-symptoms-gi-review","Perianal symptoms GI review","Perianal symptoms GI review","Gastroenterology outpatient","","","","false"
"gi-portal-hypertension-clinic-documentation","Portal hypertension clinic documentation","Portal hypertension clinic documentation","Gastroenterology outpatient","","","","false"
"gi-post-cholecystectomy-symptoms","Post-cholecystectomy symptoms","Post-cholecystectomy symptoms","Gastroenterology outpatient","","","","false"
"gi-post-gastroenteritis-follow-up","Post-gastroenteritis follow-up","Post-gastroenteritis follow-up","Gastroenterology outpatient","","","","false"
"gi-post-gi-admission-follow-up","Post-GI admission follow-up","Post-GI admission follow-up","Gastroenterology outpatient","","","","false"
"gi-rectal-bleeding-documentation","Rectal bleeding documentation","Rectal bleeding documentation","Gastroenterology outpatient","","","","false"
"gi-reflux-follow-up","Reflux follow-up","Reflux follow-up","Gastroenterology outpatient","","","","false"
"gi-stool-test-result-review","Stool test result review","Stool test result review","Gastroenterology outpatient","","","","false"
"gi-ulcerative-colitis-follow-up","Ulcerative colitis follow-up","Ulcerative colitis follow-up","Gastroenterology outpatient","","","","false"
"gi-vomiting-follow-up","Vomiting follow-up","Vomiting follow-up","Gastroenterology outpatient","","","","false"
"gi-weight-loss-gi-documentation","Weight loss GI documentation","Weight loss GI documentation","Gastroenterology outpatient","","","","false"
"gp-abdominal-bloating","Abdominal bloating","Abdominal bloating","General Medicine / GP","","","","false"
"gp-abnormal-kidney-function-review","Abnormal kidney function review","Abnormal kidney function review","General Medicine / GP","","","","false"
"gp-abnormal-liver-enzyme-review","Abnormal liver enzyme review","Abnormal liver enzyme review","General Medicine / GP","","","","false"
"gp-alcohol-intake-documentation","Alcohol intake documentation","Alcohol intake documentation","General Medicine / GP","","","","false"
"gp-allergic-symptoms","Allergic symptoms","Allergic symptoms","General Medicine / GP","","","","false"
"gp-allergy-list-update","Allergy list update","Allergy list update","General Medicine / GP","","","","false"
"gp-anal-itching","Anal itching","Anal itching","General Medicine / GP","","","","false"
"gp-anemia-result-review","Anemia result review","Anemia result review","General Medicine / GP","","","","false"
"gp-appetite-loss","Appetite loss","Appetite loss","General Medicine / GP","","","","false"
"gp-axillary-lump","Axillary lump","Axillary lump","General Medicine / GP","","","","false"
"gp-b12-deficiency-review","B12 deficiency review","B12 deficiency review","General Medicine / GP","","","","false"
"gp-bite-or-sting-review","Bite or sting review","Bite or sting review","General Medicine / GP","","","","false"
"gp-blood-pressure-device-technique-review","Blood pressure device technique review","Blood pressure device technique review","General Medicine / GP","","","","false"
"gp-breast-pain","Breast pain","Breast pain","General Medicine / GP","","","","false"
"gp-bruising-tendency","Bruising tendency","Bruising tendency","General Medicine / GP","","","","false"
"gp-caffeine-intake-documentation","Caffeine intake documentation","Caffeine intake documentation","General Medicine / GP","","","","false"
"gp-care-coordination-review","Care coordination review","Care coordination review","General Medicine / GP","","","","false"
"gp-caregiver-stress","Caregiver stress","Caregiver stress","General Medicine / GP","","","","false"
"gp-caregiver-support-documentation","Caregiver support documentation","Caregiver support documentation","General Medicine / GP","","","","false"
"gp-chest-discomfort-non-acute-review","Chest discomfort non-acute review","Chest discomfort non-acute review","General Medicine / GP","","","","false"
"gp-cholesterol-result-review","Cholesterol result review","Cholesterol result review","General Medicine / GP","","","","false"
"gp-chronic-disease-annual-review","Chronic disease annual review","Chronic disease annual review","General Medicine / GP","","","","false"
"gp-chronic-pain-medication-review","Chronic pain medication review","Chronic pain medication review","General Medicine / GP","","","","false"
"gp-cold-intolerance","Cold intolerance","Cold intolerance","General Medicine / GP","","","","false"
"gp-constipation-follow-up-in-gp","Constipation follow-up in GP","Constipation follow-up in GP","General Medicine / GP","","","","false"
"gp-cough-follow-up-in-gp","Cough follow-up in GP","Cough follow-up in GP","General Medicine / GP","","","","false"
"gp-diabetes-annual-care-documentation","Diabetes annual care documentation","Diabetes annual care documentation","General Medicine / GP","","","","false"
"gp-diarrhea-follow-up-in-gp","Diarrhea follow-up in GP","Diarrhea follow-up in GP","General Medicine / GP","","","","false"
"gp-dietary-counseling-documentation","Dietary counseling documentation","Dietary counseling documentation","General Medicine / GP","","","","false"
"gp-dizziness-in-gp","Dizziness in GP","Dizziness in GP","General Medicine / GP","","","","false"
"gp-domestic-safety-screening-documentation","Domestic safety screening documentation","Domestic safety screening documentation","General Medicine / GP","","","","false"
"gp-driving-medical-form","Driving medical form","Driving medical form","General Medicine / GP","","","","false"
"gp-dyspepsia-follow-up-in-gp","Dyspepsia follow-up in GP","Dyspepsia follow-up in GP","General Medicine / GP","","","","false"
"gp-epistaxis-review-in-gp","Epistaxis review in GP","Epistaxis review in GP","General Medicine / GP","","","","false"
"gp-excessive-sweating","Excessive sweating","Excessive sweating","General Medicine / GP","","","","false"
"gp-exercise-counseling-documentation","Exercise counseling documentation","Exercise counseling documentation","General Medicine / GP","","","","false"
"gp-falls-risk-screening","Falls risk screening","Falls risk screening","General Medicine / GP","","","","false"
